country,corning_current_2016,project_secure_2026,project_recheck_2026,secure_delta_vs_2016,priority,interpretive_note
Austria,2,4,0,2,baseline_match_needed,"Project has two more secure rows than the 2016 country total; this does not by itself prove two post-2016 discoveries because row-level identity and split/merge history remain unresolved."
Australia,3,2,0,-1,very_high,"At least one 2016 Australian current-holder node is missing from the project if country/node normalization is comparable. Secure ownership rows are Australian Museum and Museums Victoria. University of Sydney / Chau Chak Wing Museum now has 2024-2025 official physical-presence proof for Blaschka works and is the strongest bounded candidate for the third node, but its objects may still derive from the Australian Museum's 1884 loan; do not promote until lender/acquisition or object-register evidence closes ownership."
Belgium,1,1,0,0,normal,"Country-level count reconciles; still requires row-level baseline match."
Canada,1,1,0,0,normal,"Country-level count reconciles; still requires row-level baseline match."
Czech Republic,1,1,0,0,normal,"Country-level count reconciles; project uses Czechia as current country name."
Denmark,0,0,0,0,low,"No current collection shown in the 2016 Corning chart and none in the project holder table."
France,1,1,0,0,normal,"Country-level count reconciles; likely Strasbourg but row-level baseline match still required."
Germany,9,6,1,-3,very_high,"Six secure rows plus Görlitz recheck give seven surfaced nodes against nine in the 2016 chart. Resolve Görlitz and recover at least two further 2016 German holders."
India,0,0,0,0,historical_only,"No current collection shown in 2016 chart. Project has strong historical Jeypore/Jaipur and Indian Museum leads without current survival proof."
Ireland,5,5,0,0,high,"Country-level count reconciles after Queen's Belfast is excluded from current tally; row-level matching should be comparatively tractable."
Italy,4,5,0,1,baseline_match_needed,"Project has one more secure row than 2016. Recent school rediscoveries and the distinct Florence FST/University nodes make this a useful delta test."
Japan,0,0,0,0,low,"No current collection shown in the 2016 chart; historical Tokyo node remains separate from current census."
Latvia,0,0,0,0,low,"No current collection shown in 2016 chart."
Lithuania,0,0,0,0,low,"No current collection shown in 2016 chart."
New Zealand,2,3,0,1,baseline_match_needed,"Project has Canterbury, Otago and Auckland. Determine which two were in the 2016 baseline and whether Auckland is the later/additional node."
Panama,0,0,0,0,low,"No current collection shown in 2016 chart."
Poland,0,0,0,0,historical_only,"No current collection shown in 2016 chart. Warsaw remains a historical transaction/successor lead without current object proof."
Russia,0,0,0,0,low,"No current collection shown in 2016 chart."
Serbia,0,0,0,0,low,"No current collection shown in 2016 chart."
Slovenia,2,0,0,-2,highest,"The project is missing both 2016 Slovenian current-holder identities. Generic English/Slovenian web searches in the 2026-08-09 pass did not yet recover institution-grade proof, so institutions must not be guessed."
Switzerland,2,1,0,-1,very_high,"Geneva is secure; one additional 2016 Swiss current-holder node remains unidentified in the project."
Netherlands,1,1,0,0,normal,"Country-level count reconciles; likely Utrecht but row-level baseline match still required."
Ukraine,0,0,0,0,low,"No current collection shown in 2016 chart."
United Kingdom,20,19,0,-1,very_high,"One 2016 UK current-holder node is still missing at minimum. Meechan inversion and Science Museum dispersal candidates are the highest-yield route. Guernsey is grouped with United Kingdom for comparability with the working table."
United States,10,12,0,2,baseline_match_needed,"Project has two more secure rows than 2016. Corning Museum of Glass ownership and later rediscoveries/collection splits require row-level matching before any post-2016 delta claim."

# source_note,"Corning Museum of Glass, Katherine Larson, '4,747 Models, 174 Collections, 25 Countries, and Counting' (15 May 2016), published chart 'Blaschka Invertebrate Collections, by Country'. Dark-blue Current bar heights were read as whole-number country counts and cross-validated because they sum exactly to the article's stated 64 current collections."
# project_note,"project_secure_2026 is derived from research/current_holders.csv after excluding HOLD-0008 Queen's Belfast (historical_not_current) and separating HOLD-0059 Görlitz as project_recheck_2026. Arithmetic deltas are discovery aids, not row-level proof of post-2016 change."
